accessible_surface_area,net_surface_charge,solubility,aggregation_tendency,zeta_potential,clouding_point,salt_bridges,tryptophan_accessibility,surface_roughness,cluster
32077,-2.1,6.8,0.276,-7.5,53.0,4,53.1,1.51,0
9669,5.1,9.4,0.479,-16.5,80.0,4,5.2,1.96,5
9548,13.2,24.2,0.649,-18.2,55.1,1,15.9,1.97,5
10511,-5.2,19.1,0.28,-27.7,68.1,5,81.3,1.4,3
5712,-4.9,26.3,0.319,-16.0,53.1,2,13.3,1.49,2
10825,4.3,35.5,0.328,-26.6,43.7,1,23.3,1.26,2
9861,2.1,26.9,0.048,-31.8,65.0,2,45.3,1.28,4
14188,9.1,55.2,0.391,-13.8,67.7,5,51.7,1.75,2
15316,1.5,35.4,0.049,-21.4,44.2,4,76.4,1.96,5
28295,-4.2,15.2,0.336,1.8,56.3,5,44.7,1.23,0
19539,1.5,10.7,0.045,-5.0,74.4,4,79.0,1.49,4
10606,4.7,15.5,0.089,2.0,67.2,1,61.8,1.35,4
9326,2.9,27.6,0.148,-21.8,55.3,2,11.3,1.69,2
16264,1.0,11.7,0.128,-13.6,52.8,1,15.6,1.31,1
7878,4.4,28.1,0.378,-40.0,83.4,4,43.7,1.0,3
27794,5.0,25.9,0.142,-17.8,42.6,2,39.7,1.73,2
21413,6.3,7.3,0.043,-14.0,59.3,2,74.4,1.34,4
11073,1.9,35.0,0.119,-13.5,42.4,3,58.1,1.36,2
6732,-3.0,21.9,0.25,-15.4,75.8,4,38.8,1.55,0
22960,-1.1,53.4,0.266,-14.3,59.9,2,17.1,1.52,2
12761,5.2,16.4,0.236,-40.0,62.1,3,22.7,1.55,0
21919,-6.9,13.1,0.412,-12.4,85.0,4,57.6,1.02,3
7060,0.2,6.4,0.442,-10.2,52.9,2,42.3,1.59,5
10511,-4.4,6.3,0.322,-1.6,81.0,3,51.5,1.0,3
13387,-1.8,32.2,0.195,-11.3,55.3,2,17.1,1.66,2
13613,5.7,49.9,0.172,-16.3,57.2,5,66.3,1.77,2
11158,-0.9,15.4,0.599,-4.0,85.0,7,85.3,1.08,3
17139,-1.7,14.6,0.238,-38.6,58.1,4,25.8,1.52,0
8716,-10.2,17.6,0.288,-20.1,43.5,2,49.2,1.75,5
12620,2.5,36.6,0.131,-22.7,63.4,0,97.6,1.3,4
14018,1.9,7.3,0.133,-15.3,57.9,3,33.3,1.62,1
16412,11.0,19.9,0.066,-37.0,64.4,3,59.5,1.0,4
17758,-3.8,32.7,0.231,-1.8,58.4,2,9.0,1.77,2
8519,-0.7,24.0,0.149,-17.5,85.0,1,60.6,1.43,4
7232,-0.5,0.5,0.175,-11.8,66.7,7,9.0,1.35,0
22271,7.5,27.0,0.456,-12.8,47.1,4,95.9,1.73,5
15259,-2.6,24.2,0.046,-2.4,61.5,7,71.6,2.01,5
9903,-0.3,41.4,0.128,-33.6,50.4,4,78.8,1.56,5
24846,1.6,47.3,0.251,-13.9,57.0,2,70.4,1.96,2
13992,-0.9,40.1,0.228,-3.5,49.1,2,59.0,1.04,2
21412,-4.7,17.7,0.519,-16.0,85.0,4,45.0,1.62,3
13725,-0.8,3.4,0.031,-24.5,51.7,2,85.8,1.38,4
30463,4.4,14.5,0.479,-21.0,68.3,5,95.7,1.21,3
26960,-8.2,17.2,0.059,-18.9,56.1,4,49.9,1.0,4
12093,-1.2,49.5,0.165,-22.2,46.1,0,93.2,1.6,2
19705,-6.2,8.8,0.048,-16.5,62.4,0,58.3,1.69,1
17294,5.2,4.8,0.007,0.1,64.8,4,53.8,1.86,1
23096,-11.1,11.7,0.464,-21.0,66.7,2,45.4,1.8,5
9081,-5.4,9.2,0.111,-19.9,35.0,2,20.9,1.22,1
17578,0.3,4.3,0.338,-10.4,45.2,5,0.4,1.84,2
20401,7.4,15.6,0.14,-16.7,71.5,3,24.2,1.88,1
6611,-2.4,17.8,0.526,-28.3,48.9,4,51.0,1.35,3
8322,-5.3,4.0,0.147,-15.6,62.4,0,38.0,1.43,1
5909,9.3,13.0,0.185,-16.0,44.9,2,44.8,1.18,1
11994,-10.7,8.7,0.123,-5.2,68.8,3,98.1,1.91,5
17801,-15.2,18.2,0.074,-24.7,71.2,3,35.0,1.05,0
24365,0.6,19.6,0.358,-5.2,68.8,2,45.2,1.58,0
13761,-5.0,8.7,0.224,-16.0,72.4,3,13.4,1.26,0
25628,-8.1,34.8,0.005,-26.1,78.8,2,4.8,1.14,0
7692,2.3,16.9,0.529,-28.1,45.9,2,77.5,1.0,3
6759,-0.5,9.1,0.149,4.3,50.5,4,57.1,1.36,4
13066,-5.4,3.8,0.075,-16.6,70.8,4,76.1,1.1,4
15578,-9.7,20.4,0.042,-5.6,73.6,1,15.0,1.44,1
13186,3.2,24.1,0.083,-32.1,51.9,4,57.2,2.02,5
5843,1.9,11.2,0.299,10.0,51.1,1,25.4,1.48,4
12891,-2.6,18.6,0.367,-6.1,52.2,5,22.8,2.12,5
7928,9.1,47.3,0.171,-17.6,40.7,1,1.2,1.17,2
17463,-8.4,31.1,0.792,-18.1,44.7,4,13.0,1.1,5
15469,-11.2,1.5,0.155,-7.7,45.0,3,30.9,1.16,1
9173,-6.2,9.0,0.201,-8.2,56.5,2,11.7,1.4,1
10877,-2.3,15.0,0.069,-13.2,63.3,2,98.6,2.45,5
8745,-0.5,17.7,0.191,-14.9,65.2,1,30.9,1.02,1
13028,-3.4,18.9,0.405,-9.4,53.9,2,13.0,1.61,2
19575,0.1,23.0,0.571,-32.4,54.2,1,19.9,1.23,5
9006,-9.5,15.4,0.326,-18.7,61.5,3,58.8,1.36,3
16344,6.7,16.9,0.034,-31.5,42.0,1,6.4,1.1,1
10806,-2.5,32.2,0.055,-9.0,71.5,1,86.2,1.69,2
9728,4.7,20.7,0.031,-21.8,75.4,2,96.1,1.41,4
12799,0.1,5.8,0.097,-30.7,52.5,5,24.7,1.76,0
8829,0.7,18.1,0.144,-22.9,55.2,6,45.0,1.47,0
10705,1.4,15.1,0.061,-13.5,74.9,2,2.2,1.0,1
8273,0.7,2.3,0.326,-17.1,58.5,3,64.1,1.77,5
29316,1.9,18.8,0.081,-26.7,67.1,5,41.4,1.0,0
13549,6.0,6.6,0.269,-32.0,58.9,5,27.0,1.0,0
10098,-0.8,32.6,0.369,-14.3,78.7,0,20.7,1.18,2
14553,2.3,22.8,0.169,-20.8,65.9,3,65.4,1.18,4
12772,-2.5,5.5,0.431,-17.6,66.6,3,41.6,1.88,5
12229,6.6,31.6,0.279,-16.6,66.8,1,18.0,1.37,2
17080,-6.1,41.9,0.136,-10.7,53.3,1,68.9,1.82,2
18087,8.8,13.6,0.167,-6.5,54.4,0,56.5,1.27,4
10805,-2.2,15.0,0.127,-13.5,69.2,3,85.9,1.51,4
10611,-10.6,29.5,0.353,-18.2,61.5,2,11.7,1.56,2
11967,-1.2,39.8,0.305,-14.8,45.9,1,78.6,1.63,2
5320,-6.1,3.1,0.239,-18.4,82.5,6,67.4,1.29,3
7287,3.0,6.2,0.048,-31.4,71.7,0,11.5,1.32,4
23080,-5.9,11.9,0.118,-4.1,60.5,1,69.5,1.34,4
25796,-4.7,13.0,0.093,-6.0,56.7,3,44.2,1.02,4
12093,-13.3,28.9,0.013,4.9,62.4,2,94.5,1.4,3
16825,-4.7,40.0,0.066,7.8,66.2,2,14.2,1.31,1
15130,-16.5,42.0,0.058,-26.8,35.6,6,64.3,1.59,5
35000,-11.5,3.0,0.178,-18.4,85.0,3,38.2,1.45,0
20906,2.6,8.3,0.345,10.0,50.5,1,95.7,1.85,5
12693,2.7,10.1,0.139,-15.4,60.0,3,33.0,1.44,1
9115,0.6,8.2,0.176,-12.6,60.4,4,96.2,1.27,4
7026,-7.8,22.8,0.199,-30.2,84.0,0,90.1,1.44,4
14492,-2.3,24.8,0.2,-13.5,58.9,2,27.0,1.64,2
9872,-2.0,16.7,0.229,4.3,79.1,1,80.4,1.0,4
7563,-9.0,15.6,0.435,-2.1,64.9,3,99.6,1.23,3
10315,7.0,12.3,0.175,-21.1,48.5,5,25.3,1.24,0
8667,3.3,13.5,0.448,-19.0,61.6,4,43.7,1.54,5
26235,-3.3,47.0,0.213,-26.3,58.6,2,52.0,1.58,2
19008,-1.8,27.4,0.186,-23.5,47.0,3,29.5,1.45,2
13317,-0.7,12.7,0.686,-34.1,64.3,3,1.5,1.0,5
24148,-14.3,15.3,0.352,-15.8,60.3,5,22.0,1.02,0
13779,-3.5,23.1,0.018,0.1,66.7,1,28.2,1.35,1
9466,-6.1,5.5,0.288,-11.4,62.3,4,44.4,1.28,0
24569,-8.0,18.6,0.068,-1.3,52.2,0,17.1,1.42,1
16573,-3.7,26.3,0.21,-4.3,69.2,2,87.3,1.29,3
8822,8.8,24.0,0.066,-20.5,52.5,2,70.5,1.93,5
12380,1.8,8.4,0.253,-22.6,35.0,1,8.5,1.0,1
9412,-5.4,9.9,0.498,-22.2,61.5,4,65.0,1.51,3
7683,1.4,1.9,0.281,-32.2,53.4,5,65.4,1.67,0
